Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
2,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
2,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
1,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
1,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
1,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
3,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
2,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9
1,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
3,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
2,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
3,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
1,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
2,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
1,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
1,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
1,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
1,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,12
3,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
2,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
3,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
1,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
2,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
3,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
2,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
3,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8
1,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
1,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
2,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12
3,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
3,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
3,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
3,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
2,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
2,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11
2,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12
2,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
3,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
3,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
1,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
1,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
1,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
2,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
2,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
1,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
3,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
1,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
3,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6
1,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
1,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
2,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
